index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA,ARIMA-lo-95,ARIMA-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95,HoltWinters,HoltWinters-lo-95,HoltWinters-hi-95,DynamicOptimizedTheta,DynamicOptimizedTheta-lo-95,DynamicOptimizedTheta-hi-95
0,IL,2025-01-01,2952563.6666666665,2823212.3697096817,3081914.9636236513,2985263.583333333,2522422.1471329723,3448105.019533694,3220153.333333333,2820160.1755217924,3620146.4911448737,3220153.333333333,2820160.1755217924,3620146.4911448737,2939433.297697208,2836600.623776299,3042265.971618117,2939433.297697208,2836600.623776299,3042265.971618117,2959918.2575375503,2815037.960049525,3104798.5550255757,2957548.3327814033,2853101.094705923,3081943.022729603
1,IL,2025-04-01,2952563.6666666665,2769633.3081995486,3135494.0251337844,2985263.583333333,2522422.1471329723,3448105.019533694,3064561.333333333,2664568.1755217924,3464554.4911448737,3064561.333333333,2664568.1755217924,3464554.4911448737,2931737.1475919723,2738920.544504593,3124553.7506793514,2931737.1475919723,2738920.544504593,3124553.7506793514,2959191.971046693,2754312.641370647,3164071.300722739,2942571.832257781,2765826.821348019,3108140.672277858
2,IL,2025-07-01,2952563.6666666665,2728520.648312239,3176606.685021094,2985263.583333333,2522422.1471329723,3448105.019533694,2974965.333333333,2574972.1755217924,3374958.4911448737,2974965.333333333,2574972.1755217924,3374958.4911448737,2927226.1756169964,2650541.1440801183,3203911.2071538744,2927226.1756169964,2650541.1440801183,3203911.2071538744,2968339.3293441674,2717410.866794582,3219267.7918937528,2957592.351860005,2724491.823591975,3164069.0116139357
3,IL,2025-10-01,2952563.6666666665,2693861.0727526965,3211266.2605806366,2985263.583333333,2522422.1471329723,3448105.019533694,2952563.6666666665,2552570.508855126,3352556.824478207,2952563.6666666665,2552570.508855126,3352556.824478207,2924582.1434865454,2571626.3286476806,3277537.9583254103,2924582.1434865454,2571626.3286476806,3277537.9583254103,2968296.176230889,2678539.447558944,3258052.9049028335,2952749.6187703647,2711375.624019591,3192575.47538515
4,IL,2026-01-01,2952563.6666666665,2663325.3736930867,3241801.9596402464,2985263.583333333,2522422.1471329723,3448105.019533694,3220153.333333333,2654477.584699811,3785829.081966855,3220153.333333333,2654477.584699811,3785829.081966855,2923032.3874814897,2501051.5272392933,3345013.247723686,2923032.3874814897,2501051.5272392933,3345013.247723686,2975651.1830748077,2651680.2805982404,3299622.085551375,2957548.3327814033,2668150.371397906,3229593.5342250797
5,IL,2026-04-01,2952563.6666666665,2635718.991554831,3269408.341778502,2985263.583333333,2522422.1471329723,3448105.019533694,3064561.333333333,2498885.584699811,3630237.081966855,3064561.333333333,2498885.584699811,3630237.081966855,2922124.0234538573,2437460.081924004,3406787.9649837106,2922124.0234538573,2437460.081924004,3406787.9649837106,2974924.8965839506,2620016.9574174504,3329832.835750451,2942571.832257781,2650163.1092693284,3229301.6209727903
6,IL,2026-07-01,2952563.6666666665,2610332.3031548182,3294795.030178515,2985263.583333333,2522422.1471329723,3448105.019533694,2974965.333333333,2409289.584699811,3540641.081966855,2974965.333333333,2409289.584699811,3540641.081966855,2921591.600798933,2379617.5278562526,3463565.673741613,2921591.600798933,2379617.5278562526,3463565.673741613,2984072.254881425,2600710.2051817584,3367434.3045810913,2957592.351860005,2601998.200370998,3238190.988601677
7,IL,2026-10-01,2952563.6666666665,2586702.949732431,3318424.383600902,2985263.583333333,2522422.1471329723,3448105.019533694,2952563.6666666665,2386887.9180331444,3518239.4153001886,2952563.6666666665,2386887.9180331444,3518239.4153001886,2921279.530004787,2326498.6520910338,3516060.40791854,2921279.530004787,2326498.6520910338,3516060.40791854,2984029.1017681463,2574178.404935137,3393879.7986011556,2952749.6187703647,2584212.3495140737,3303068.2428801623
8,IN,2025-01-01,1848454.0,1764606.1136020324,1932301.8863979676,1518238.106060606,870511.7151791942,2165964.4969420177,1888686.0,1585459.8596593665,2191912.1403406337,1888686.0,1585459.8596593665,2191912.1403406337,1848121.7419355433,1802873.0757184646,1893370.408152622,1848121.7419355433,1802873.0757184646,1893370.408152622,1871445.5038455175,1781672.6613903837,1961218.3463006513,1866591.5502987597,1798802.5039269724,1947327.1823591732
9,IN,2025-04-01,1848454.0,1729875.181879676,1967032.818120324,1518238.106060606,870511.7151791942,2165964.4969420177,1860125.0,1556898.8596593665,2163351.1403406337,1860125.0,1556898.8596593665,2163351.1403406337,1847889.4463087374,1741287.2975170575,1954491.5951004173,1847889.4463087374,1741287.2975170575,1954491.5951004173,1895236.768430987,1772124.6985884223,2018348.8382735515,1888844.9774743186,1772899.8893908174,1997489.5446957918
10,IN,2025-07-01,1848454.0,1703225.200651457,1993682.799348543,1518238.106060606,870511.7151791942,2165964.4969420177,1849850.6666666667,1546624.5263260333,2153076.8070073,1849850.6666666667,1546624.5263260333,2153076.8070073,1847727.038638298,1677768.6641035154,2017685.4131730804,1847727.038638298,1677768.6641035154,2017685.4131730804,1905619.9276942115,1756436.501150639,2054803.354237784,1897217.5340206677,1745290.9388178643,2031982.6525803069
11,IN,2025-10-01,1848454.0,1680758.227204065,2016149.772795935,1518238.106060606,870511.7151791942,2165964.4969420177,1848454.0,1545227.8596593665,2151680.1403406337,1848454.0,1545227.8596593665,2151680.1403406337,1847613.492585881,1615943.7097327118,2079283.27543905,1847613.492585881,1615943.7097327118,2079283.27543905,1919482.8843147366,1748145.4905916597,2090820.2780378135,1900550.029392229,1743130.987128256,2056340.444229849
12,IN,2026-01-01,1848454.0,1660964.4262444647,2035943.5737555353,1518238.106060606,870511.7151791942,2165964.4969420177,1888686.0,1459859.4798642285,2317512.5201357715,1888686.0,1459859.4798642285,2317512.5201357715,1847534.1077515034,1557223.7063030307,2137844.509199976,1847534.1077515034,1557223.7063030307,2137844.509199976,1943459.1571709258,1752516.7440176776,2134401.570324174,1917680.6258998113,1728507.3824984701,2094910.2310277491
13,IN,2026-04-01,1848454.0,1643069.4623141296,2053838.5376858704,1518238.106060606,870511.7151791942,2165964.4969420177,1860125.0,1431298.4798642285,2288951.5201357715,1860125.0,1431298.4798642285,2288951.5201357715,1847478.6064655052,1502042.5763267893,2192914.636604221,1847478.6064655052,1502042.5763267893,2192914.636604221,1967250.4217563951,1758532.4232118325,2175968.4203009577,1939175.7572363666,1747717.3366248084,2128630.8904599217
14,IN,2026-07-01,1848454.0,1626613.3446325827,2070294.6553674173,1518238.106060606,870511.7151791942,2165964.4969420177,1849850.6666666667,1421024.1465308955,2278677.186802438,1849850.6666666667,1421024.1465308955,2278677.186802438,1847439.8031755367,1450385.491890137,2244494.1144609363,1847439.8031755367,1450385.491890137,2244494.1144609363,1977633.5810196197,1752535.611199669,2202731.5508395704,1946489.6379019835,1712924.596651708,2130989.755766768
15,IN,2026-10-01,1848454.0,1611296.3637593517,2085611.6362406483,1518238.106060606,870511.7151791942,2165964.4969420177,1848454.0,1419627.4798642285,2277280.5201357715,1848454.0,1419627.4798642285,2277280.5201357715,1847412.6741588789,1402037.9560647884,2292787.3922529696,1847412.6741588789,1402037.9560647884,2292787.3922529696,1991496.5376401448,1751128.7264738176,2231864.348806472,1948706.7665756918,1708782.5601002325,2178770.791897552
16,MI,2025-01-01,2371853.333333333,2035573.8476187391,2708132.819047927,2495690.295454545,1825869.664109441,3165510.926799649,2657247.0,2072053.231941525,3242440.768058475,2657247.0,2072053.231941525,3242440.768058475,2371853.333333333,2035573.4129369422,2708133.253729724,2371853.333333333,2035573.4129369422,2708133.253729724,2396435.8770643906,2031913.736971142,2760958.0171576394,2392692.98032902,2113423.640877668,2725297.7183333985
17,MI,2025-04-01,2371853.333333333,1896282.3238879046,2847424.3427787614,2495690.295454545,1825869.664109441,3165510.926799649,2464790.333333333,1879596.565274858,3049984.101391808,2464790.333333333,1879596.565274858,3049984.101391808,2371853.333333333,1896281.7091550122,2847424.9575116537,2371853.333333333,1896281.7091550122,2847424.9575116537,2394467.4835198126,1902206.735958429,2886728.231081196,2356289.291482108,1907406.8989218418,2783229.580298525
18,MI,2025-07-01,2371853.333333333,1789400.178532524,2954306.488134142,2495690.295454545,1825869.664109441,3165510.926799649,2365379.6666666665,1780185.8986081914,2950573.4347251416,2365379.6666666665,1780185.8986081914,2950573.4347251416,2371853.333333333,1789399.4256415665,2954307.2410250995,2371853.333333333,1789399.4256415665,2954307.2410250995,2354388.2660635705,1761270.1032252763,2947506.4289018647,2307263.2966626408,1753893.4227895448,2803030.300148607
19,MI,2025-10-01,2371853.333333333,1699294.3619041452,3044412.304762521,2495690.295454545,1825869.664109441,3165510.926799649,2371853.333333333,1786659.565274858,2957047.101391808,2371853.333333333,1786659.565274858,2957047.101391808,2371853.333333333,1699293.4925405513,3044413.1741261147,2371853.333333333,1699293.4925405513,3044413.1741261147,2430001.264237221,1750823.873710061,3109178.654764381,2381881.27677067,1801632.5002157264,2987716.4619873944
20,MI,2026-01-01,2371853.333333333,1619909.5438368313,3123797.122829835,2495690.295454545,1825869.664109441,3165510.926799649,2657247.0,1829658.0365954891,3484835.963404511,2657247.0,1829658.0365954891,3484835.963404511,2371853.333333333,1619908.571858785,3123798.094807881,2371853.333333333,1619908.571858785,3123798.094807881,2447526.1758763934,1692013.7905234494,3203038.5612293375,2392692.98032902,1694847.8095121104,3050941.695741881
21,MI,2026-04-01,2371853.333333333,1548140.1823670329,3195566.484299633,2495690.295454545,1825869.664109441,3165510.926799649,2464790.333333333,1637201.3699288222,3292379.296737844,2464790.333333333,1637201.3699288222,3292379.296737844,2371853.333333333,1548139.11761843,3195567.549048236,2371853.333333333,1548139.11761843,3195567.549048236,2445557.782331815,1620730.3654547518,3270385.199208878,2356289.291482108,1651222.1771215224,3051796.513305141
22,MI,2026-07-01,2371853.333333333,1482141.4431198197,3261565.2235468463,2495690.295454545,1825869.664109441,3165510.926799649,2365379.6666666665,1537790.7032621556,3192968.630071177,2365379.6666666665,1537790.7032621556,3192968.630071177,2371853.333333333,1482140.2930598855,3261566.3736067805,2371853.333333333,1482140.2930598855,3261566.3736067805,2405478.564875573,1516712.093791836,3294245.03595931,2307263.2966626408,1482433.1697621807,2952348.418722265
23,MI,2026-10-01,2371853.333333333,1420711.3144424763,3322995.35222419,2495690.295454545,1825869.664109441,3165510.926799649,2371853.333333333,1544264.3699288222,3199442.296737844,2371853.333333333,1544264.3699288222,3199442.296737844,2371853.333333333,1420710.0849766913,3322996.5816899748,2371853.333333333,1420710.0849766913,3322996.5816899748,2481091.5630492233,1532674.0998076801,3429509.0262907664,2381881.27677067,1515851.3458384422,3208842.8253235365
24,OH,2025-01-01,3094191.0,2947176.068500815,3241205.931499185,3098120.939393939,2598459.4450207036,3597782.4337671744,3249536.6666666665,2795783.8815866606,3703289.4517466724,3249536.6666666665,2795783.8815866606,3703289.4517466724,3085138.6250925306,2972436.9999079513,3197840.25027711,3085138.6250925306,2972436.9999079513,3197840.25027711,3104394.997954179,2961160.7304429095,3247629.2654654486,3097252.008558945,2983887.5,3232267.25
25,OH,2025-04-01,3094191.0,2886280.490002501,3302101.509997499,3098120.939393939,2598459.4450207036,3597782.4337671744,3149224.333333333,2695471.548253327,3602977.118413339,3149224.333333333,2695471.548253327,3602977.118413339,3079584.253777661,2865639.70365157,3293528.803903752,3079584.253777661,2865639.70365157,3293528.803903752,3102760.1076632035,2900213.8886634866,3305306.3266629204,3099941.9207448824,2907076.75,3280651.0
26,OH,2025-07-01,3094191.0,2839553.6691721533,3348828.3308278467,3098120.939393939,2598459.4450207036,3597782.4337671744,3108944.333333333,2655191.548253327,3562697.118413339,3108944.333333333,2655191.548253327,3562697.118413339,3076176.1933494527,2766215.966835559,3386136.4198633465,3076176.1933494527,2766215.966835559,3386136.4198633465,3084297.7800382064,2836232.2374768574,3332363.3225995554,3102461.400198041,2849298.75,3326889.0
27,OH,2025-10-01,3094191.0,2800161.13700163,3388220.86299837,3098120.939393939,2598459.4450207036,3597782.4337671744,3094191.0,2640438.214919994,3547943.785080006,3094191.0,2640438.214919994,3547943.785080006,3074085.0699398196,2675670.253000551,3472499.8868790884,3074085.0699398196,2675670.253000551,3472499.8868790884,3094171.9232140034,2807727.9347964735,3380615.9116315334,3104826.174771079,2841824.25,3365788.25
28,OH,2026-01-01,3094191.0,2765455.619460347,3422926.380539653,3098120.939393939,2598459.4450207036,3597782.4337671744,3249536.6666666665,2607833.324041958,3891240.009291375,3249536.6666666665,2607833.324041958,3891240.009291375,3072801.994945573,2593588.2309337114,3552015.758957435,3072801.994945573,2593588.2309337114,3552015.758957435,3104377.687089661,2784119.2192222476,3424636.1549570747,3107050.1812632415,2792056.75,3402861.0
29,OH,2026-04-01,3094191.0,2734079.4332567747,3454302.5667432253,3098120.939393939,2598459.4450207036,3597782.4337671744,3149224.333333333,2507520.9907086245,3790927.6759580416,3149224.333333333,2507520.9907086245,3790927.6759580416,3072014.7236476303,2518956.423185098,3625073.0241101626,3072014.7236476303,2518956.423185098,3625073.0241101626,3102746.2544181254,2751915.582169956,3453576.9266662947,3109145.803256336,2790415.0,3423089.75
30,OH,2026-07-01,3094191.0,2705226.05223996,3483155.94776004,3098120.939393939,2598459.4450207036,3597782.4337671744,3108944.333333333,2467240.9907086245,3750647.6759580416,3108944.333333333,2467240.9907086245,3750647.6759580416,3071531.6684097494,2450678.8958002995,3692384.4410191993,3071531.6684097494,2450678.8958002995,3692384.4410191993,3084286.6937981746,2705340.902671355,3463232.4849249944,3111124.0732031194,2723803.25,3417169.0
31,OH,2026-10-01,3094191.0,2678369.9800050016,3510012.0199949984,3098120.939393939,2598459.4450207036,3597782.4337671744,3094191.0,2452487.6573752915,3735894.3426247085,3094191.0,2452487.6573752915,3735894.3426247085,3071235.2745700986,2387759.9878594102,3754710.561280787,3071235.2745700986,2387759.9878594102,3754710.561280787,3094163.0513058444,2689047.602232536,3499278.500379153,3112994.844732969,2711887.75,3496174.25
