unique_id,ds,best_model,best_forecast,best_forecast-lo-95,best_forecast-hi-95,cv_mae_cutoff,cv_mae_Naive,cv_mae_HistoricAverage,cv_mae_WindowAverage,cv_mae_SeasonalNaive,cv_mae_ARIMA,cv_mae_SARIMA,cv_mae_HoltWinters,cv_mae_DynamicOptimizedTheta
IL,2025-01-01,Naive,2952563.6666666665,2823212.3697096817,3081914.9636236513,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IL,2025-04-01,Naive,2952563.6666666665,2769633.3081995486,3135494.0251337844,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IL,2025-07-01,Naive,2952563.6666666665,2728520.648312239,3176606.685021094,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IL,2025-10-01,Naive,2952563.6666666665,2693861.0727526965,3211266.2605806366,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IL,2026-01-01,Naive,2952563.6666666665,2663325.3736930867,3241801.9596402464,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IL,2026-04-01,Naive,2952563.6666666665,2635718.991554831,3269408.341778502,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IL,2026-07-01,Naive,2952563.6666666665,2610332.3031548182,3294795.030178515,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IL,2026-10-01,Naive,2952563.6666666665,2586702.949732431,3318424.383600902,2016-10-01,58605.41666666651,89488.91666666698,79371.49999999953,79371.5,76204.19139054668,76204.19139054668,103781.56187061337,58661.86529088579
IN,2025-01-01,Naive,1848454.0,1764606.1136020324,1932301.8863979676,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
IN,2025-04-01,Naive,1848454.0,1729875.181879676,1967032.818120324,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
IN,2025-07-01,Naive,1848454.0,1703225.200651457,1993682.799348543,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
IN,2025-10-01,Naive,1848454.0,1680758.227204065,2016149.772795935,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
IN,2026-01-01,Naive,1848454.0,1660964.4262444647,2035943.5737555353,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
IN,2026-04-01,Naive,1848454.0,1643069.4623141296,2053838.5376858704,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
IN,2026-07-01,Naive,1848454.0,1626613.3446325827,2070294.6553674173,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
IN,2026-10-01,Naive,1848454.0,1611296.3637593517,2085611.6362406483,2016-10-01,17940.291666666686,151948.26388888882,37690.2916666668,40115.541666666686,93980.24613292713,93980.24613292713,126032.2367661403,93577.38476553748
MI,2025-01-01,DynamicOptimizedTheta,2392692.98032902,2113423.640877668,2725297.7183333985,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
MI,2025-04-01,DynamicOptimizedTheta,2356289.291482108,1907406.8989218418,2783229.580298525,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
MI,2025-07-01,DynamicOptimizedTheta,2307263.2966626408,1753893.4227895448,2803030.300148607,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
MI,2025-10-01,DynamicOptimizedTheta,2381881.27677067,1801632.5002157264,2987716.4619873944,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
MI,2026-01-01,DynamicOptimizedTheta,2392692.98032902,1694847.8095121104,3050941.695741881,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
MI,2026-04-01,DynamicOptimizedTheta,2356289.291482108,1651222.1771215224,3051796.513305141,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
MI,2026-07-01,DynamicOptimizedTheta,2307263.2966626408,1482433.1697621807,2952348.418722265,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
MI,2026-10-01,DynamicOptimizedTheta,2381881.27677067,1515851.3458384422,3208842.8253235365,2016-10-01,181503.87500000003,251245.86111111104,195236.75000000003,189887.95833333328,285053.0189393936,285053.0189393936,280240.9252790519,147564.2235049831
OH,2025-01-01,Naive,3094191.0,2947176.068500815,3241205.931499185,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
OH,2025-04-01,Naive,3094191.0,2886280.490002501,3302101.509997499,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
OH,2025-07-01,Naive,3094191.0,2839553.6691721533,3348828.3308278467,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
OH,2025-10-01,Naive,3094191.0,2800161.13700163,3388220.86299837,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
OH,2026-01-01,Naive,3094191.0,2765455.619460347,3422926.380539653,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
OH,2026-04-01,Naive,3094191.0,2734079.4332567747,3454302.5667432253,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
OH,2026-07-01,Naive,3094191.0,2705226.05223996,3483155.94776004,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
OH,2026-10-01,Naive,3094191.0,2678369.9800050016,3510012.0199949984,2016-10-01,67060.74999999994,69032.77777777781,91361.41666666657,91361.41666666669,101808.25000000122,101808.25000000122,412044.8448915844,115446.62443124386
